year,category,winner,entity,First Name,Last Name,ID Number
1927,ACTOR,True,Emil Jannings,Emil,Jannings,2895
1927,ACTRESS,True,Janet Gaynor,Janet,Gaynor,9088
1928,ACTOR,True,Warner Baxter,Warner,Baxter,29999
1928,ACTRESS,True,Mary Pickford,Mary,Pickford,100047
1929,ACTOR,True,George Arliss,George,Arliss,124309
1929,ACTRESS,True,Norma Shearer,Norma,Shearer,88867
1930,ACTOR,True,Lionel Barrymore,Lionel,Barrymore,17753
1930,ACTRESS,True,Marie Dressler,Marie,Dressler,89610
1931,ACTOR,True,Wallace Beery,Wallace,Beery,29260
1931,ACTOR,True,Fredric March,Fredric,March,13576
1931,ACTRESS,True,Helen Hayes,Helen,Hayes,47439
1932,ACTOR,True,Charles Laughton,Charles,Laughton,10921
1932,ACTRESS,True,Katharine Hepburn,Katharine,Hepburn,6598
1934,ACTOR,True,Clark Gable,Clark,Gable,11492
1934,ACTRESS,True,Claudette Colbert,Claudette,Colbert,30155
1935,ACTOR,True,Victor McLaglen,Victor,McLaglen,30495
1935,ACTRESS,True,Bette Davis,Bette,Davis,3380
1936,ACTOR,True,Paul Muni,Paul,Muni,13352
1936,ACTRESS,True,Luise Rainer,Luise,Rainer,125482
1937,ACTOR,True,Spencer Tracy,Spencer,Tracy,12147
1937,ACTRESS,True,Luise Rainer,Luise,Rainer,125482
1938,ACTOR,True,Spencer Tracy,Spencer,Tracy,12147
1938,ACTRESS,True,Bette Davis,Bette,Davis,3380
1939,ACTOR,True,Robert Donat,Robert,Donat,3609
1939,ACTRESS,True,Vivien Leigh,Vivien,Leigh,10538
1940,ACTOR,True,James Stewart,James,Stewart,854
1940,ACTRESS,True,Ginger Rogers,Ginger,Rogers,30003
1941,ACTOR,True,Gary Cooper,Gary,Cooper,4068
1941,ACTRESS,True,Joan Fontaine,Joan,Fontaine,3360
1942,ACTOR,True,James Cagney,James,Cagney,5788
1942,ACTRESS,True,Greer Garson,Greer,Garson,93805
1943,ACTOR,True,Paul Lukas,Paul,Lukas,2092
1943,ACTRESS,True,Jennifer Jones,Jennifer,Jones,39554
1944,ACTOR,True,Bing Crosby,Bing,Crosby,24937
1944,ACTRESS,True,Ingrid Bergman,Ingrid,Bergman,4111
1945,ACTOR,True,Ray Milland,Ray,Milland,7124
1945,ACTRESS,True,Joan Crawford,Joan,Crawford,31550
1946,ACTOR,True,Fredric March,Fredric,March,13576
1946,ACTRESS,True,Olivia de Havilland,Olivia,de,8725
1947,ACTOR,True,Ronald Colman,Ronald,Colman,29522
1947,ACTRESS,True,Loretta Young,Loretta,Young,85848
1948,ACTOR,True,Laurence Olivier,Laurence,Olivier,3359
1948,ACTRESS,True,Jane Wyman,Jane,Wyman,20391
1949,ACTOR,True,Broderick Crawford,Broderick,Crawford,85895
1949,ACTRESS,True,Olivia de Havilland,Olivia,de,8725
1950,ACTOR,True,José Ferrer,José,Ferrer,12515
1950,ACTRESS,True,Judy Holliday,Judy,Holliday,85651
1951,ACTOR,True,Humphrey Bogart,Humphrey,Bogart,4110
1951,ACTRESS,True,Vivien Leigh,Vivien,Leigh,10538
1952,ACTOR,True,Gary Cooper,Gary,Cooper,4068
1952,ACTRESS,True,Shirley Booth,Shirley,Booth,113284
1953,ACTOR,True,William Holden,William,Holden,8252
1953,ACTRESS,True,Audrey Hepburn,Audrey,Hepburn,1932
1954,ACTOR,True,Marlon Brando,Marlon,Brando,3084
1954,ACTRESS,True,Grace Kelly,Grace,Kelly,4070
1955,ACTOR,True,Ernest Borgnine,Ernest,Borgnine,7502
1955,ACTRESS,True,Anna Magnani,Anna,Magnani,4421
1956,ACTOR,True,Yul Brynner,Yul,Brynner,14528
1956,ACTRESS,True,Ingrid Bergman,Ingrid,Bergman,4111
1957,ACTOR,True,Alec Guinness,Alec,Guinness,12248
1957,ACTRESS,True,Joanne Woodward,Joanne,Woodward,109410
1958,ACTOR,True,David Niven,David,Niven,14261
1958,ACTRESS,True,Susan Hayward,Susan,Hayward,30124
1959,ACTOR,True,Charlton Heston,Charlton,Heston,10017
1959,ACTRESS,True,Simone Signoret,Simone,Signoret,12266
1960,ACTOR,True,Burt Lancaster,Burt,Lancaster,13784
