entity,ID Number
Adrien Brody,3490
Al Pacino,1158
Alec Guinness,12248
Anna Magnani,4421
Anne Bancroft,10774
Anthony Hopkins,4173
Art Carney,40176
Audrey Hepburn,1932
Barbra Streisand,10400
Ben Kingsley,2282
Bing Crosby,24937
Brie Larson,60073
Broderick Crawford,85895
Burt Lancaster,13784
Casey Affleck,1893
Cate Blanchett,112
Charles Laughton,10921
Charlize Theron,6885
Charlton Heston,10017
Cher,38225
Clark Gable,11492
Claudette Colbert,30155
Cliff Robertson,19153
Colin Firth,5472
Daniel Day Lewis,11856
David Niven,14261
Denzel Washington,5292
Diane Keaton,3092
Eddie Redmayne,37632
Ellen Burstyn,9560
Emil Jannings,2895
Emma Stone,54693
Emma Thompson,7056
Ernest Borgnine,7502
F. Murray Abraham,1164
Faye Dunaway,6450
Forest Whitaker,2178
Gary Oldman,64
Gene Hackman,193
Geoffrey Rush,118
George Arliss,124309
George C. Scott,862
Geraldine Page,41283
Ginger Rogers,30003
Grace Kelly,4070
Greer Garson,93805
Gregory Peck,8487
Gwyneth Paltrow,12052
Halle Berry,4587
Helen Hayes,47439
Helen Hunt,9994
Helen Mirren,15735
Henry Fonda,4958
Holly Hunter,18686
Humphrey Bogart,4110
Jack Lemmon,3151
James Cagney,5788
James Stewart,854
Jamie Foxx,134
Jane Wyman,20391
Janet Gaynor,9088
Jean Dujardin,56024
Jeff Bridges,1229
Jennifer Jones,39554
Jennifer Lawrence,72129
Jeremy Irons,16940
Jessica Lange,4431
Jessica Tandy,5698
Joan Crawford,31550
Joan Fontaine,3360
Joanne Woodward,109410
John Wayne,4165
Jon Voight,10127
José Ferrer,12515
Judy Holliday,85651
Julia Roberts,1204
Julianne Moore,1231
Julie Andrews,5823
Julie Christie,1666
Kate Winslet,204
Kathy Bates,8534
Kevin Spacey,1979
Laurence Olivier,3359
Lee Marvin,18391
Leonardo DiCaprio,6193
Lionel Barrymore,17753
Liza Minnelli,66776
Loretta Young,85848
Louise Fletcher,7071
Maggie Smith,10978
Marie Dressler,89610
Marion Cotillard,8293
Marlee Matlin,19797
Mary Pickford,100047
Matthew McConaughey,10297
Maximilian Schell,12150
Michael Douglas,3392
Natalie Portman,524
Nicolas Cage,2963
Nicole Kidman,2227
Norma Shearer,88867
Patricia Neal,1934
Paul Lukas,2092
Paul Muni,13352
Paul Newman,3636
Paul Scofield,13324
Peter Finch,29903
Philip Seymour Hoffman,1233
Ray Milland,7124
Reese Witherspoon,368
Rex Harrison,35321
Richard Dreyfuss,3037
Robert De Niro,380
Robert Donat,3609
Robert Duvall,3087
Roberto Benigni,4818
Rod Steiger,522
Ronald Colman,29522
Russell Crowe,934
Sandra Bullock,18277
Shirley Booth,113284
Shirley MacLaine,4090
Sidney Poitier,16897
Simone Signoret,12266
Sissy Spacek,5606
Sophia Loren,16757
Susan Hayward,30124
Susan Sarandon,4038
Victor McLaglen,30495
Wallace Beery,29260
Warner Baxter,29999
William Holden,8252
William Hurt,227
Yul Brynner,14528
